t1,t2,command,measured,position
87724113,87724113,62,317,883
87734512,87734512,62,317,883
87744178,87744179,62,318,879
87753846,87753847,62,318,880
87763511,87763511,62,317,880
87773179,87773180,62,318,878
87783890,87783891,62,318,879
87793556,87793557,62,319,876
87803226,87803226,62,319,875
87812895,87812895,62,319,874
87822565,87822566,62,319,876
87832655,87832655,62,319,876
87842329,87842330,62,319,877
87852005,87852006,62,319,876
87861682,87861683,62,318,877
87871352,87871352,62,319,876
87881027,87881027,62,319,878
87890696,87890696,62,319,877
87900368,87900369,62,319,877
87910757,87910757,62,319,877
87920429,87920430,62,319,877
87930099,87930100,62,319,875
87939770,87939771,62,319,877
87949436,87949437,62,319,876
87960118,87960118,62,319,878
87969786,87969786,62,321,877
87979457,87979457,62,321,876
87989128,87989129,62,320,876
87998797,87998798,62,320,877
88008782,88008783,62,320,881
88018452,88018452,62,320,877
88028126,88028126,62,320,877
88037801,88037802,62,321,876
88047470,88047470,62,320,876
88057148,88057148,62,320,876
88066820,88066821,62,320,877
88076496,88076497,62,320,875
88086962,88086963,62,321,876
88096637,88096638,62,320,877
88106313,88106314,62,320,876
88115991,88115992,62,321,877
88125661,88125662,62,321,876
88136035,88136035,62,320,878
88145701,88145701,62,321,877
88155371,88155371,62,321,877
88165040,88165041,62,320,873
88174707,88174707,62,320,877
88185445,88185446,62,320,877
88195114,88195115,62,320,878
88204781,88204782,62,320,876
88214450,88214450,62,320,876
88224121,88224122,62,320,875
88234215,88234215,62,320,876
88243884,88243885,62,320,877
