t1,t2,command,force,position
155388712,155388713,50,-1,984
155396714,155396715,50,-1,983
155404714,155404714,50,-1,984
155412714,155412714,50,-1,984
155420719,155420719,50,-1,985
155428713,155428713,50,-1,985
155436714,155436715,50,-1,985
155444714,155444715,50,-1,985
155452715,155452715,50,-1,983
155460719,155460719,50,-1,984
155468713,155468713,50,-1,985
155476714,155476715,50,-1,985
155484714,155484715,50,-1,985
155492714,155492715,50,-1,985
155500718,155500719,50,-1,984
155508712,155508713,50,-1,986
155516714,155516715,50,-1,984
155524714,155524715,50,-1,984
155532714,155532715,50,-1,986
155540719,155540719,50,-1,985
155548713,155548714,50,-1,984
155556714,155556715,50,-1,984
155564714,155564715,50,-1,984
155572714,155572715,50,-1,984
155580718,155580718,50,-1,985
155588713,155588713,50,-1,985
155596714,155596715,50,-1,986
155604714,155604715,50,-1,985
155612714,155612715,50,-1,985
155620718,155620719,50,-1,985
155628713,155628713,50,-1,984
155636714,155636715,50,-1,985
155644714,155644715,50,-1,984
155652714,155652715,50,-1,985
155660719,155660719,50,-1,985
155668713,155668713,50,-1,984
155676714,155676715,50,-1,985
155684714,155684715,50,-1,984
155692714,155692715,50,-1,985
155700718,155700718,50,-1,984
155708713,155708714,50,-1,984
155716714,155716715,50,-1,985
155724714,155724715,50,-1,984
155732714,155732715,50,-1,985
155740718,155740719,50,-1,987
155748713,155748713,50,-1,984
155756714,155756715,50,-1,984
155764714,155764714,50,-1,984
155772714,155772715,50,-1,984
155780718,155780719,50,-1,986
155788713,155788713,50,-1,985
155796714,155796715,50,-1,984
155804714,155804714,50,-1,985
155812714,155812715,50,-1,986
155820719,155820719,50,-1,985
155828713,155828713,50,-1,983
155836714,155836715,50,-1,985
155844714,155844714,50,-1,984
155852714,155852715,50,-1,984
155860718,155860719,50,-1,987
155868713,155868713,50,-1,983
155876714,155876715,50,-1,984
155884714,155884715,50,-1,985
155892714,155892714,50,-1,986
155900718,155900719,50,-1,984
155908713,155908714,50,-1,984
155916714,155916714,50,-1,985
155924714,155924715,50,-1,985
155932714,155932714,50,-1,984
155940719,155940719,50,-1,984
155948713,155948714,50,-1,986
155956714,155956714,50,-1,984
155964714,155964715,50,-1,985
155972714,155972715,50,-1,985
155980718,155980719,50,-1,985
155988713,155988713,50,-1,984
155996714,155996715,50,-1,983
156004714,156004715,50,-1,985
156012714,156012715,50,-1,986
156020718,156020719,50,-1,985
156028713,156028713,50,-1,985
156036714,156036714,50,-1,983
156044714,156044715,50,-1,985
156052714,156052714,50,-1,985
156060718,156060719,50,-1,986
156068713,156068713,50,-1,985
156076714,156076714,50,-1,985
156084714,156084714,50,-1,985
156092714,156092715,50,-1,984
156100718,156100719,50,-1,984
156108713,156108714,51,-1,986
156116714,156116715,51,-1,986
156124714,156124715,51,-1,985
156132714,156132715,51,-1,983
156140718,156140719,51,-1,985
156148713,156148713,51,-1,985
156156714,156156715,51,-1,985
156164714,156164715,51,-1,985
156172714,156172715,51,-1,985
156180718,156180719,51,-1,984
156188713,156188713,51,-1,984
156196714,156196715,51,-1,984
156204714,156204715,51,-1,985
156212714,156212715,51,-1,985
156220719,156220719,51,-1,986
156228713,156228713,51,-1,984
156236714,156236715,51,-1,984
156244714,156244715,51,-1,984
156252714,156252714,51,-1,985
156260719,156260719,51,-1,985
156268713,156268714,51,-1,985
156276714,156276715,51,-1,985
156284714,156284715,51,-1,986
156292714,156292715,51,-1,985
156300719,156300719,51,-1,984
156308713,156308713,51,-1,983
156316714,156316714,51,-1,984
156324715,156324715,51,-1,985
156332714,156332715,51,-1,984
156340719,156340719,51,-1,984
156348713,156348713,51,-1,985
156356714,156356715,51,-1,985
156364715,156364715,51,-1,985
156372714,156372715,51,-1,985
156380719,156380719,51,-1,984
156388713,156388713,51,-1,983
156396714,156396715,51,-1,985
156404714,156404714,51,-1,984
156412714,156412715,51,-1,985
156420718,156420719,51,-1,983
156428713,156428714,51,-1,985
156436714,156436715,51,-1,984
156444714,156444714,51,-1,985
156452714,156452715,51,-1,985
156460719,156460719,51,-1,985
156468713,156468714,51,-1,985
156476715,156476715,51,-1,983
156484714,156484715,51,-1,985
156492714,156492715,51,-1,985
156500718,156500719,51,-1,983
156508713,156508713,51,-1,984
156516714,156516715,51,-1,985
156524714,156524715,51,-1,983
156532714,156532715,51,-1,986
156540718,156540719,51,-1,986
156548713,156548713,51,-1,984
156556714,156556715,51,-1,984
156564714,156564715,51,-1,985
156572714,156572715,51,-1,984
156580718,156580719,51,-1,985
156588713,156588713,51,-1,985
156596714,156596715,51,-1,984
156604714,156604714,51,-1,985
156612714,156612715,51,-1,985
156620718,156620719,51,-1,984
156628712,156628713,51,-1,983
156636714,156636715,51,-1,984
156644714,156644714,51,-1,986
156652714,156652715,51,-1,985
156660718,156660719,51,-1,983
156668713,156668713,51,-1,985
156676714,156676715,51,-1,983
156684714,156684715,51,-1,985
156692714,156692715,51,-1,986
156700719,156700719,51,-1,984
156708712,156708713,51,-1,985
156716714,156716715,51,-1,985
